P (mbar)	T (K)	logP(mbar)	T (experiment)	P(experiment)																											
mbar	K		K	mbar																											
2.24388192378277	1.35841513757633	0.351			1.35841513757633																										
2.24905460583578	1.35881675112899	0.352			1.35881675112899																										
2.25423921215243	1.35921865259748	0.353			1.35921865259748																										
2.25943577022098	1.35962084137928	0.354			1.35962084137928																										
2.26464430759306	1.36002331687484	0.355			1.36002331687484																										
2.26986485188382	1.36042607848762	0.356			1.36042607848762																										
2.27509743077207	1.36082912562402	0.357			1.36082912562402																										
2.28034207200042	1.36123245769342	0.358			1.36123245769342																										
2.28559880337543	1.36163607410817	0.359			1.36163607410817																										
2.29086765276777	1.36203997428355	0.36			1.36203997428355																										
2.29614864811236	1.36244415763783	0.361			1.36244415763783																										
2.30144181740851	1.3628486235922	0.362			1.3628486235922																										
2.30674718872007	1.3632533715708	0.363			1.3632533715708																										
2.31206479017559	1.36365840100072	0.364			1.36365840100072																										
2.31739464996848	1.36406371131196	0.365			1.36406371131196																										
2.32273679635711	1.36446930193748	0.366			1.36446930193748																										
2.32809125766501	1.36487517231312	0.367			1.36487517231312																										
2.333458062281	1.36528132187768	0.368			1.36528132187768																										
2.33883723865935	1.36568775007284	0.369			1.36568775007284																										
2.34422881531992	1.36609445634322	0.37			1.36609445634322																										
2.34963282084831	1.36650144013632	0.371			1.36650144013632																										
2.35504928389601	1.36690870090254	0.372			1.36690870090254																										
2.36047823318058	1.36731623809519	0.373			1.36731623809519																										
2.36591969748576	1.36772405117045	0.374			1.36772405117045																										
2.37137370566166	1.3681321395874	0.375			1.3681321395874																										
2.37684028662488	1.36854050280799	0.376			1.36854050280799																										
2.38231946935869	1.36894914029704	0.377			1.36894914029704																										
2.38781128291318	1.36935805152225	0.378			1.36935805152225																										
2.39331575640539	1.36976723595418	0.379			1.36976723595418																										
2.39883291901949	1.37017669306625	0.38			1.37017669306625																										
2.40436280000693	1.37058642233473	0.381			1.37058642233473																										
2.40990542868659	1.37099642323875	0.382			1.37099642323875																										
2.41546083444494	1.37140669526027	0.383			1.37140669526027																										
2.42102904673618	1.37181723788412	0.384			1.37181723788412																										
2.42661009508242	1.37222805059792	0.385			1.37222805059792																										
2.43220400907382	1.37263913289217	0.386			1.37263913289217																										
2.43781081836875	1.37305048426015	0.387			1.37305048426015																										
2.44343055269397	1.373462104198	0.388			1.373462104198																										
2.44906324184475	1.37387399220465	0.389			1.37387399220465																										
2.45470891568503	1.37428614778185	0.39			1.37428614778185																										
2.46036760414763	1.37469857043417	0.391			1.37469857043417																										
2.46603933723434	1.37511125966896	0.392			1.37511125966896																										
2.47172414501613	1.37552421499636	0.393			1.37552421499636																										
2.47742205763329	1.37593743592935	0.394			1.37593743592935																										
2.48313310529557	1.37635092198364	0.395			1.37635092198364																										
2.48885731828239	1.37676467267776	0.396			1.37676467267776																										
2.49459472694295	1.37717868753301	0.397			1.37717868753301																										
2.50034536169643	1.37759296607344	0.398			1.37759296607344																										
2.50610925303211	1.37800750782591	0.399			1.37800750782591																										
2.51188643150958	1.37842231232	0.4			1.37842231232																										
2.51767692775886	1.37883737908808	0.401			1.37883737908808																										
2.52348077248057	1.37925270766527	0.402			1.37925270766527																										
2.52929799644614	1.37966829758942	0.403			1.37966829758942																										
2.53512863049791	1.38008414840115	0.404			1.38008414840115																										
2.54097270554931	1.38050025964379	0.405			1.38050025964379																										
2.54683025258504	1.38091663086344	0.406			1.38091663086344																										
2.55270130266125	1.3813332616089	0.407			1.3813332616089																										
2.55858588690565	1.3817501514317	0.408			1.3817501514317																										
2.56448403651772	1.38216729988612	0.409			1.38216729988612																										
2.57039578276886	1.38258470652912	0.41			1.38258470652912																										
2.57632115700258	1.38300237092038	0.411			1.38300237092038																										
2.5822601906346	1.3834202926223	0.412			1.3834202926223																										
2.58821291515309	1.38383847119998	0.413			1.38383847119998																										
2.59417936211881	1.3842569062212	0.414			1.3842569062212																										
2.60015956316527	1.38467559725644	0.415			1.38467559725644																										
2.6061535499989	1.38509454387888	0.416			1.38509454387888																										
2.61216135439921	1.38551374566437	0.417			1.38551374566437																										
2.61818300821899	1.38593320219144	0.418			1.38593320219144																										
2.62421854338444	1.3863529130413	0.419			1.3863529130413																										
2.63026799189538	1.38677287779782	0.42			1.38677287779782																										
2.63633138582538	1.38719309604754	0.421			1.38719309604754																										
2.64240875732195	1.38761356737966	0.422			1.38761356737966																										
2.6485001386067	1.38803429138602	0.423			1.38803429138602																										
2.65460556197554	1.38845526766115	0.424			1.38845526766115																										
2.66072505979881	1.38887649580217	0.425			1.38887649580217																										
2.66685866452148	1.38929797540888	0.426			1.38929797540888																										
2.67300640866331	1.38971970608371	0.427			1.38971970608371																										
2.67916832481903	1.39014168743171	0.428			1.39014168743171																										
2.68534444565851	1.39056391906057	0.429			1.39056391906057																										
2.69153480392692	1.39098640058059	0.43			1.39098640058059																										
2.69773943244492	1.39140913160469	0.431			1.39140913160469																										
2.70395836410884	1.39183211174842	0.432			1.39183211174842																										
2.71019163189084	1.3922553406299	0.433			1.3922553406299																										
2.71643926883908	1.39267881786991	0.434			1.39267881786991																										
2.72270130807791	1.39310254309177	0.435			1.39310254309177																										
2.72897778280804	1.39352651592143	0.436			1.39352651592143																										
2.73526872630671	1.39395073598742	0.437			1.39395073598742																										
2.74157417192788	1.39437520292086	0.438			1.39437520292086																										
2.7478941531024	1.39479991635544	0.439			1.39479991635544																										
2.75422870333817	1.39522487592743	0.44			1.39522487592743																										
2.76057785622035	1.39565008127568	0.441			1.39565008127568																										
2.76694164541151	1.3960755320416	0.442			1.3960755320416																										
2.77332010465184	1.39650122786916	0.443			1.39650122786916																										
