Acquisition Time (ms)	Shunt Voltage (V)	Sample Voltage (V)	Integrated Sample Voltage (V)					
milliseconds	Volts	Volts	Volts					
7511750	1.8029313	4.0860488E-6	0.0106409213	-9.16078700000001E-4		0.0221979213	152	64.9055268
7512000	1.782368	4.0591463E-6	0.0106379805	-9.26019499999998E-4		0.0222019805	153	64.165248
7512250	1.7616795	3.5704183E-6	0.0106345509	-9.36449100000002E-4		0.0222055509	154	63.420462
7512500	1.7416349	4.2833335E-6	0.0106318342	-9.46165800000001E-4		0.0222098342	155	62.6988564
7512750	1.7207829	5.74055E-6	0.0106305748	-9.54425200000003E-4		0.0222155748	156	61.9481844
7513000	1.7010376	4.1533049E-6	0.0106277281	-9.64271899999999E-4		0.0222197281	157	61.2373536
7513250	1.6809119	4.1667562E-6	0.0106248948	-9.74105199999999E-4		0.0222238948	158	60.5128284
7513500	1.6604845	4.5478743E-6	0.0106224427	-9.835573E-4		0.0222284427	159	59.777442
7513750	1.6397136	5.6194889E-6	0.0106210622	-9.91937799999999E-4		0.0222340622	160	59.0296896
7514000	1.6194257	4.7317078E-6	0.0106187939	-0.0010012061		0.0222387939	161	58.2993252
7514250	1.5994866	5.4535904E-6	0.0106172475	-0.0010097525		0.0222442475	162	57.5815176
7514500	1.5790686	4.9693462E-6	0.0106152168	-0.0010187832		0.0222492168	163	56.8464696
7514751	1.5586978	5.7943549E-6	0.0106140112	-0.0010269888		0.0222550112	164	56.1131208
7515000	1.5385381	4.9962486E-6	0.0106120074	-0.0010359926		0.0222600074	165	55.3873716
7515250	1.5181063	5.0545373E-6	0.010610062	-0.001044938		0.022265062	166	54.6518268
7515500	1.4973684	5.5342978E-6	0.0106085963	-0.0010534037		0.0222705963	167	53.9052624
7515750	1.4767646	5.4849766E-6	0.0106070813	-0.0010619187		0.0222760813	168	53.1635256
7516000	1.4568803	5.3056269E-6	0.0106053869	-0.0010706131		0.0222813869	169	52.4476908
7516250	1.4367599	5.059021E-6	0.0106034459	-0.0010795541		0.0222864459	170	51.7233564
7516500	1.4162871	4.4671669E-6	0.0106009131	-0.0010890869		0.0222909131	171	50.9863356
7516751	1.3960312	5.076956E-6	0.01059899	-0.00109801		0.02229599	172	50.2571232
7517001	1.3755361	4.2160773E-6	0.0105962061	-0.0011077939		0.0223002061	173	49.5192996
7517250	1.3549639	4.7361915E-6	0.0105939423	-0.0011170577		0.0223049423	174	48.7787004
7517500	1.3343214	4.8662201E-6	0.0105918085	-0.0011261915		0.0223098085	175	48.0355704
7517750	1.314344	4.6823866E-6	0.0105894909	-0.0011355091		0.0223144909	176	47.316384
7518000	1.2940681	4.8213827E-6	0.0105873123	-0.0011446877		0.0223193123	177	46.5864516
7518250	1.2738184	5.6553589E-6	0.0105859676	-0.0011530324		0.0223249676	178	45.8574624
7518500	1.2536833	4.1667562E-6	0.0105831344	-0.0011628656		0.0223291344	179	45.1325988
7518750	1.2331209	4.4626832E-6	0.0105805971	-0.0011724029		0.0223335971	180	44.3923524
7519000	1.2125661	4.6868704E-6	0.0105782839	-0.0011817161		0.0223382839	181	43.6523796
7519250	1.1919485	4.7048053E-6	0.0105759888	-0.0011910112		0.0223429888	182	42.910146
7519500	1.1714619	4.3909433E-6	0.0105733797	-0.0012006203		0.0223473797	183	42.1726284
7519751	1.1511851	4.7003216E-6	0.01057108	-0.00120992		0.02235208	184	41.4426636
7520000	1.131561	5.5253303E-6	0.0105696053	-0.0012183947		0.0223576053	185	40.736196
7520250	1.1112811	4.6868704E-6	0.0105672922	-0.0012277078		0.0223622922	186	40.0061196
7520500	1.0907864	5.2876919E-6	0.0105655799	-0.0012364201		0.0223675799	187	39.2683104
7520750	1.0700708	4.6465167E-6	0.0105632264	-0.0012457736		0.0223722264	188	38.5225488
7521000	1.0494737	4.3909433E-6	0.0105606174	-0.0012553826		0.0223766174	189	37.7810532
7521250	1.0291162	4.3461059E-6	0.0105579635	-0.0012650365		0.0223809635	190	37.0481832
7521500	1.0087824	5.6688101E-6	0.0105566323	-0.00127336770000001		0.0223866323	191	36.3161664
7521750	0.9867343587	6.1530544E-6	0.0105557853	-0.0012812147		0.0223927853	192	35.5224369132
7522000	0.9688215915	5.1800821E-6	0.0105539654	-0.0012900346		0.0223979654	193	34.877577294
7522250	0.9483665098	4.8213827E-6	0.0105517868	-0.0012992132		0.0224027868	194	34.1411943528
7522500	0.9277160184	5.601554E-6	0.0105503884	-0.0013076116		0.0224083884	195	33.3977766624
7522750	0.906972725	5.6688101E-6	0.0105490572	-0.0013159428		0.0224140572	196	32.6510181
7523001	0.8873757413	3.5210971E-6	0.0105455783	-0.0013264217		0.0224175783	197	31.9455266868
7523250	0.8669743708	4.1667562E-6	0.010542745	-0.001336255		0.022421745	198	31.2110773488
7523500	0.8467530387	4.5344231E-6	0.0105402794	-0.0013457206		0.0224262794	199	30.4831093932
7523750	0.8265215475	3.2341376E-6	0.0105365136	-0.0013564864		0.0224295136	200	29.75477571
7524000	0.8060273751	3.7946055E-6	0.0105333082	-0.0013666918		0.0224333082	201	29.0169855036
7524250	0.7861216404	3.960504E-6	0.0105302687	-0.0013767313		0.0224372687	202	28.3003790544
7524500	0.7658010575	5.1262772E-6	0.010528395	-0.001385605		0.022442395	203	27.56883807
