Acquisition Time (ms)	Shunt Voltage (V)	Sample Voltage (V)	Integrated Sample Voltage (V)						
milliseconds	Volts	Volts	Volts						
5066000	1.7330812	4.6599679E-6	0.011507647	0.010356047				157	62.3909232
5066250	1.7124551	4.5075206E-6	0.0115060545	0.0103483545				158	61.6483836
5066500	1.6915274	5.4356555E-6	0.0115053902	0.0103415902				159	60.8949864
5066750	1.6716004	4.4626832E-6	0.0115037529	0.0103338529				160	60.1776144
5067001	1.6504414	5.4222042E-6	0.0115030751	0.0103270751				161	59.4158904
5067250	1.6296033	5.0096999E-6	0.0115019848	0.0103198848				162	58.6657188
5067500	1.6088885	4.7541265E-6	0.0115006389	0.0103124389				163	57.919986
5067750	1.5883711	6.0230258E-6	0.0115005619	0.0103062619				164	57.1813596
5068000	1.5677152	4.2878172E-6	0.0114987498	0.0102983498				165	56.4377472
5068251	1.5477262	5.3773668E-6	0.0114980271	0.0102915271				166	55.7181432
5068500	1.5269776	3.7901217E-6	0.0114957172	0.0102831172				167	54.9711936
5068750	1.5057559	5.0635048E-6	0.0114946808	0.0102759808				168	54.2072124
5069000	1.484985	5.4311717E-6	0.0114940119	0.0102692119				169	53.45946
5069250	1.4649189	5.2383708E-6	0.0114931503	0.0102622503				170	52.7370804
5069500	1.4443615	5.1217934E-6	0.0114921721	0.0102551721				171	51.997014
5069750	1.4237028	4.745159E-6	0.0114908172	0.0102477172				172	51.2533008
5070000	1.4030634	4.9603787E-6	0.0114896776	0.0102404776				173	50.5102824
5070250	1.3821067	5.5118791E-6	0.0114890895	0.0102337895				174	49.7558412
5070500	1.3610636	4.8662201E-6	0.0114878557	0.0102264557				175	48.9982896
5070750	1.3406336	6.386209E-6	0.0114881419	0.0102206419				176	48.2628096
5071000	1.3201746	5.7764199E-6	0.0114878184	0.0102142184				177	47.5262856
5071250	1.299511	5.7943549E-6	0.0114875127	0.0102078127				178	46.782396
5071500	1.2789112	6.0588958E-6	0.0114874716	0.0102016716				179	46.0408032
5071751	1.2583386	6.090282E-6	0.0114874619	0.0101955619				180	45.3001896
5072000	1.2383461	5.1621471E-6	0.011486524	0.010188524				181	44.5804596
5072250	1.2174491	4.4043945E-6	0.0114848284	0.0101807284				182	43.8281676
5072500	1.1965628	4.6151305E-6	0.0114833436	0.0101731436				183	43.0762608
5072751	1.1756137	5.758485E-6	0.011483002	0.010166702				184	42.3220932
5073000	1.154973	5.6508751E-6	0.0114825529	0.0101601529				185	41.579028
5073250	1.134374	5.1531796E-6	0.0114816061	0.0101531061				186	40.837464
5073500	1.1144274	5.7764199E-6	0.0114812825	0.0101466825				187	40.1193864
5073750	1.093751	5.3863343E-6	0.0114805689	0.0101398689				188	39.375036
5074000	1.0730099	5.3414969E-6	0.0114798104	0.0101330104				189	38.6283564
5074250	1.0518474	4.6106467E-6	0.011478321	0.010125421				190	37.8665064
5074500	1.031007	5.3056269E-6	0.0114775266	0.0101185266				191	37.116252
5074750	1.0102985	5.1442122E-6	0.0114765708	0.0101114708				192	36.370746
5075000	0.9873888754	5.7360662E-6	0.0114762069	0.0101050069				193	35.5459995144
5075250	0.9690817551	5.3370131E-6	0.0114754439	0.0100981439				194	34.8869431836
5075500	0.9490148427	6.3817253E-6	0.0114757256	0.0100923256				195	34.1645343372
5075750	0.9280222075	4.920025E-6	0.0114745457	0.0100850457				196	33.40879947
5076000	0.9071032043	4.0367276E-6	0.0114724824	0.0100768824				197	32.6557153548
5076250	0.8862564197	5.2114683E-6	0.0114715939	0.0100698939				198	31.9052311092
5076500	0.8655237714	4.7406753E-6	0.0114702345	0.0100624345				199	31.1588557704
5076750	0.8454468765	5.9109322E-6	0.0114700455	0.0100561455				200	30.436087554
5077000	0.8251190496	5.7943549E-6	0.0114697398	0.0100497398				201	29.7042857856
5077250	0.8044446179	5.5387816E-6	0.0114691786	0.0100430786				202	28.9600062444
5077500	0.7840868877	5.1442122E-6	0.0114682228	0.0100360228				203	28.2271279572
5077750	0.7637181149	5.4222042E-6	0.011467545	0.010029245				204	27.4938521364
5078000	0.7426509643	5.6643264E-6	0.0114671093	0.0100227093				205	26.7354347148
5078250	0.721930242	5.4446229E-6	0.011466454	0.010015954				206	25.989488712
5078500	0.7012272761	5.0814398E-6	0.0114654354	0.0100088354				207	25.2441819396
